coin,name,minimumWithdrawal,withdrawalFee
BNB,Binance Coin,0.1,0.001
BCHSV,Bitcoin Cash SV,0.0001,0.0001
BTC,Bitcoin,0.002,0.0005
FTM,Fantom,20.2,10.1
NEO,NEO,1,0
ETH,Ethereum,0.02,0.01
LTC,Litecoin,0.002,0.001
QTUM,Qtum,0.02,0.01
EOS,EOS,0.2,0.1
SNT,Status,130,65
BNT,Bancor,5.8,2.9
GAS,NeoGas,0.001,0
BTM,Bytom,5,5
USDT,TetherUS,2.6,1.3
HCC,HealthCare Chain,0.0005,0.0005
OAX,openANX,32,16
DNT,district0x,358,179
MCO,Crypto.com,0.66,0.33
ICN,ICONOMI,3.4,3.4
ZRX,0x,13.6,6.8
OMG,OmiseGO,1.84,0.92
WTC,Walton,1.8,0.9
LRC,Loopring,70.6,35.3
LLT,LLToken,67.8,67.8
YOYO,YOYOW,10,1
TRX,TRON,10,1
STRAT,Stratis,0.002,0.1
SNGLS,Breaker,330,165
BQX,ETHOS,26.8,13.4
KNC,KyberNetwork,15.6,7.8
SNM,SONM,252,126
FUN,FunFair,1126,563
LINK,ChainLink,1.2,0.6
XVG,Verge,0.2,0.1
CTR,Centra,35,35
SALT,Salt,5.2,5.2
MDA,Moeda Loyalty Points,4.2,2.1
IOTA,MIOTA,10,0.5
SUB,Substratum,40,40
ETC,Ethereum Classic,0.02,0.01
MTL,Metal,9.2,4.6
MTH,Monetha,202,101
ENG,Enigma,6.2,3.1
AST,AirSwap,87,43.5
DASH,Dash,0.004,0.002
BTG,Bitcoin Gold,0.002,0.001
EVX,Everex,5.2,2.6
REQ,Request Network,208.2,104.1
VIB,Viberate,146,73
POWR,PowerLedger,40.2,20.1
ARK,Ark,0.4,0.2
XRP,Ripple,22,0.25
MOD,Modum,5,5
ENJ,Enjin Coin,38,19
STORJ,Storj,17,8.5
KMD,Komodo,0.004,0.002
RCN,Ripio Credit Network,154,77
NULS,Nuls,0.02,0.01
RDN,Raiden Network Token,13.4,6.7
XMR,Monero,0.01,0.0001
DLT,Agrello,49.6,24.8
AMB,Ambrosus,101.8,50.9
BAT,Basic Attention Token,14,7
ZEC,Zcash,0.01,0.005
BCPT,BlockMason Credit Protocol,1.8,0.9
ARN,Aeron,0.4,0.2
GVT,Genesis Vision,1.88,0.94
CDT,Blox,156,78
GXS,GXChain,0.6,0.3
POE,Po.et,1100,550
QSP,Quantstamp,232,116
BTS,BitShares,50,1
XZC,Zcoin,0.04,0.02
LSK,Lisk,0.2,0.1
TNT,Tierion,72,36
FUEL,Etherparty,864,432
MANA,Decentraland,64,32
BCD,Bitcoin Diamond,0.02,0.01
DGD,DigixDAO,0.12,0.06
ADX,AdEx,28.6,14.3
ADA,Cardano,4,1
PPT,Populous,3.98,1.99
CMT,CyberMiles,2,1
XLM,Stellar Lumens,3,0.01
CND,Cindicator,328,164
LEND,Aave,726,363
WABI,TAEL,22.6,11.3
SBTC,Super Bitcoin,0.001,0.0005
BCX,BitcoinX,0.5,0.5
WAVES,Waves,0.004,0.002
TNB,Time New Bank,804,402
GTO,Gifto,4.4,2.2
ICX,ICON,0.04,0.02
OST,OST,238,119
ELF,aelf,29.2,14.6
AION,AION,0.2,0.1
CVC,Civic,63.4,31.7
REP,Augur,0.4,0.2
GNT,Golem,46.4,23.2
DATA,Streamr DATAcoin,237.4,118.7
ETF,ETF,2,1
BRD,Bread,10.8,5.4
NEBL,Neblio,0.1,0.01
VIBE,VIBE,162.4,81.2
LUN,Lunyr,2.12,1.06
CHAT,ChatCoin,90.6,90.5
RLC,iExecRLC,10.2,5.1
INS,Insolar,11.2,5.6
IOST,Internet of Services,100,1
STEEM,Steem,0.02,0.01
NANO,NANO,1,0.01
AE,Aeternity,1,0.1
VIA,Viacoin,1,0.01
BLZ,Bluzelle,78.4,39.2
SYS,Syscoin,2,1
NCASH,Nucleus Vision,2044.4,1022.2
POA,POA Network,0.02,0.01
ONT,Ontology,2,1
ZIL,Zilliqa,1,0.01
STORM,Storm,1388,694
XEM,NEM,8,4
WAN,Wanchain,0.2,0.1
WPR,WePower,485.8,242.9
QLC,QLC Chain,2,1
GRS,Groestlcoin,0.4,0.2
CLOAK,CloakCoin,0.02,0.02
LOOM,Loom Network,74.6,37.3
TUSD,TrueUSD,2.6,1.3
ZEN,Horizen,0.004,0.002
SKY,Skycoin,1,0.02
THETA,Theta Token,2,0.1
IOTX,IoTeX,472,236
QKC,QuarkChain,150,75
AGI,SingularityNET,81.3,40.65
NXS,Nexus,0.04,0.02
SC,Siacoin,1,0.1
EON,EOS Network,11,10
NPXS,Pundi X,5264,2632
KEY,Selfkey,1408,704
NAS,Nebulas,0.2,0.1
ADD,ADD,200,100
MEETONE,MEETONE,600,300
ATD,Atidium,200,100
MFT,Mainframe,2038,1019
EOP,EOSpace,10,5
DENT,DENT,5152,2576
IQ,Everipedia,100,50
ARDR,Ardor,4,2
HOT,Holo,2722,1361
VET,VeChain,200,100
DOCK,DOCK,436,218
POLY,Polymath,60,30
VTHO,VTHO,42,21
ONG,Ontology Gas,1,0.1
HC,HyperCash,0.1,0.005
GO,GoChain,1,0.01
PAX,Paxos Standard,2.6,1.3
RVN,Ravencoin,2,1
DCR,Decred,0.02,0.01
USDC,USD Coin,2.6,1.3
MITH,Mithril,18.14,9.07
BCHABC,Bitcoin Cash ABC,0.002,0.001
CBM,Crypto Bonus Miles Token,400,200
REN,Ren,22.64,11.32
BTT,BitTorrent,200,100
USDS,StableUSD,1.28,0.64
FET,Fetch.AI,10,5
TFUEL,Theta Fuel,2,1
CELR,Celer Network,200,100
MATIC,MATIC Network,200,100
ATOM,Cosmos,0.01,0.005
PHB,Red Pulse Phoenix Binance,10.4,5.2
BOLT,BOLT,20,10
ONE,Harmony,40,20
CAN,CanYaCoin,10,5
UND,Unification,10,5
HNST,Honest,20,10
ENTRP,Hut34 Entropy,20,10
VRAB,Verasity,200,100
BTCB,Bitcoin BEP2,0.000006,0.000003
USDSB,StableUSD BEP2,0.062,0.031
CHZ,Chiliz,100,50
LBA,Lend Borrow Asset,20,10
COS,Contentos,100,50
ALGO,Algorand,1,0.01
ERD,Elrond,100,50
DOGE,Dogecoin,100,50
BGBP,BGBP,2,1
DUSK,Dusk Network,2,1
ANKR,Ankr,6,3
WIN,WINK,100,50
BLINK,Blockmason Link,100,50
TUSDB,TrueUSD BEP2,0.062,0.031
EDO,Eidoo,5.2,2.6
WINGS,WINGS,17.5,17.4
NAV,NAV Coin,0.4,0.2
TRIG,Triggers,51,50
APPC,AppCoins,66.6,33.3
PIVX,PIVX,0.4,0.2