created_at,symbol,buy_at,sell_at,profit1
2019-08-17T08:37:55.919Z,BCH/USD,kraken,exmo,1.0191
2019-08-17T08:37:55.919Z,BTC/USD,bittrex,yobit,2.8316
2019-08-17T08:37:55.920Z,BTC/USD,kraken,yobit,2.8774
2019-08-17T08:37:55.920Z,BTC/USD,exmo,yobit,1.0389
2019-08-17T08:38:05.921Z,LTC/USD,kraken,livecoin,1.818
2019-08-17T08:38:05.922Z,LTC/USD,kraken,yobit,3.7481
2019-08-17T08:38:45.935Z,BTC/USD,kraken,yobit,2.6458
2019-08-17T08:38:35.927Z,BTC/USD,bittrex,yobit,2.8432
2019-08-17T08:38:35.927Z,BTC/USD,exmo,yobit,1.0503
2019-08-17T08:38:45.935Z,LTC/USD,kraken,yobit,3.7481
2019-08-17T08:38:45.935Z,LTC/USD,kraken,livecoin,1.818
2019-08-17T08:38:45.936Z,BTC/USD,bittrex,yobit,2.8325
2019-08-17T08:38:45.936Z,BTC/USD,exmo,yobit,1.0522
2019-08-17T08:39:15.940Z,BTC/USD,bittrex,yobit,2.8374
2019-08-17T08:39:25.933Z,BTC/USD,kraken,yobit,2.8712
2019-08-17T08:39:15.941Z,BTC/USD,exmo,yobit,1.0598
2019-08-17T08:39:25.933Z,LTC/USD,kraken,yobit,3.6361
2019-08-17T08:39:25.933Z,LTC/USD,kraken,livecoin,1.7082
2019-08-17T08:39:35.934Z,BTC/USD,bittrex,yobit,2.8423
2019-08-17T08:39:35.934Z,BTC/USD,exmo,yobit,1.0598
2019-08-17T08:39:45.948Z,BTC/USD,bittrex,yobit,2.9297
2019-08-17T08:39:55.950Z,BTC/USD,kraken,yobit,2.9554
2019-08-17T08:39:45.948Z,BTC/USD,exmo,yobit,1.0598
2019-08-17T08:40:25.991Z,BTC/USD,bittrex,yobit,2.9576
2019-08-17T08:40:55.949Z,BTC/USD,bittrex,yobit,2.7435
2019-08-17T08:40:55.949Z,LTC/USD,kraken,exmo,1.0216
2019-08-17T08:41:15.948Z,BTC/USD,bittrex,yobit,2.9262
2019-08-17T08:41:25.969Z,LTC/USD,kraken,exmo,1.1173
2019-08-17T08:41:45.972Z,BTC/USD,bittrex,yobit,2.9249
2019-08-17T08:41:55.958Z,LTC/USD,kraken,exmo,1.0189
2019-08-17T08:42:15.966Z,BTC/USD,bittrex,yobit,2.8537
2019-08-17T08:42:25.976Z,LTC/USD,kraken,exmo,1.0194
2019-08-17T08:42:35.964Z,BTC/USD,bittrex,yobit,2.8515
2019-08-17T08:42:45.974Z,BTC/USD,bittrex,yobit,2.8575
2019-08-17T08:42:55.971Z,LTC/USD,kraken,exmo,1.0888
2019-08-17T08:43:05.970Z,BTC/USD,bittrex,yobit,3.0631
2019-08-17T08:43:05.970Z,ETH/USD,bittrex,exmo,1.0767
2019-08-17T08:43:15.978Z,LTC/USD,kraken,yobit,4.029
2019-08-17T08:43:15.978Z,XLM/USD,kraken,exmo,1.2333
2019-08-17T08:43:35.971Z,ETH/USD,bittrex,exmo,1.0494
2019-08-17T08:43:45.983Z,LTC/USD,kraken,exmo,1.0888
2019-08-17T08:43:55.978Z,BTC/USD,kraken,yobit,3.0834
2019-08-17T08:43:45.983Z,ETH/USD,bittrex,exmo,1.0833
2019-08-17T08:43:55.979Z,LTC/USD,kraken,yobit,3.9586
2019-08-17T08:44:25.979Z,BTC/USD,kraken,yobit,3.1192
2019-08-17T08:44:25.979Z,LTC/USD,kraken,yobit,3.9586
2019-08-17T08:44:55.978Z,LTC/USD,exmo,yobit,1.6375
2019-08-17T08:44:55.978Z,LTC/USD,kraken,yobit,3.9727
2019-08-17T08:45:15.978Z,BCH/USD,kraken,exmo,1.1573
2019-08-17T08:45:45.990Z,BCH/USD,kraken,exmo,1.1573
2019-08-17T08:46:15.994Z,BCH/USD,kraken,exmo,1.1573
2019-08-17T08:46:15.996Z,BTC/USD,kraken,exmo,1.1142
2019-08-17T08:46:46.004Z,TRX/USD,exmo,yobit,1.4343
2019-08-17T08:47:16.005Z,TRX/USD,exmo,yobit,1.4343
2019-08-17T08:47:56.008Z,LTC/USD,kraken,exmo,1.156
2019-08-17T08:47:46.006Z,TRX/USD,exmo,yobit,1.4343
2019-08-17T08:48:16.019Z,ETH/USD,kraken,yobit,3.8656
2019-08-17T08:48:06.006Z,ETH/USD,bittrex,yobit,3.7561
2019-08-17T08:48:06.007Z,ETH/USD,exmo,yobit,1.5266
2019-08-17T08:48:06.007Z,TRX/USD,exmo,yobit,1.0751
2019-08-17T08:48:36.016Z,ETH/USD,bittrex,yobit,3.9568
2019-08-17T08:48:36.016Z,ETH/USD,exmo,yobit,1.5303
2019-08-17T08:48:46.016Z,LTC/USD,kraken,exmo,1.1702
2019-08-17T08:48:36.017Z,TRX/USD,exmo,yobit,1.0757
2019-08-17T08:48:56.015Z,TRX/USD,exmo,yobit,1.0757
2019-08-17T08:49:16.022Z,LTC/USD,kraken,exmo,1.1575
2019-08-17T08:50:06.025Z,BCH/USD,kraken,exmo,1.2553
2019-08-17T08:50:46.030Z,BCH/USD,kraken,exmo,1.2226
2019-08-17T08:51:16.032Z,BCH/USD,kraken,exmo,1.2226
2019-08-17T08:51:46.038Z,BCH/USD,kraken,exmo,1.3208
2019-08-17T08:51:56.047Z,LTC/USD,kraken,exmo,1.0097
2019-08-17T08:52:26.057Z,BTC/USD,kraken,livecoin,1.04
2019-08-17T08:52:56.056Z,BTC/USD,kraken,livecoin,1.0096
2019-08-17T08:52:56.057Z,LTC/USD,kraken,exmo,1.0111
2019-08-17T08:53:06.055Z,TRX/USD,exmo,yobit,1.2295
2019-08-17T08:53:46.104Z,BTC/USD,kraken,livecoin,1.0087
2019-08-17T08:53:36.058Z,TRX/USD,exmo,yobit,1.2295
2019-08-17T08:55:56.094Z,BCH/USD,kraken,exmo,1.2553
2019-08-17T08:58:46.131Z,ETC/BTC,poloniex,kraken,1.0048
2019-08-17T08:59:26.140Z,ETC/BTC,poloniex,kraken,1.0642
2019-08-17T08:59:56.148Z,ETC/BTC,poloniex,kraken,1.0642
2019-08-17T09:00:16.156Z,BTC/USD,bittrex,yobit,2.8482
2019-08-17T09:00:26.155Z,ETC/BTC,poloniex,kraken,1.0642
2019-08-17T09:00:46.159Z,BTC/USD,bittrex,yobit,2.765
2019-08-17T09:00:56.158Z,ETC/BTC,poloniex,kraken,1.0642
2019-08-17T09:01:16.160Z,BTC/USD,bittrex,yobit,2.7662
2019-08-17T09:01:56.177Z,BTC/USD,bittrex,yobit,2.7684
2019-08-17T09:02:36.180Z,BTC/USD,bittrex,yobit,2.7696
2019-08-17T09:02:46.179Z,BTC/USD,bittrex,yobit,2.8169
2019-08-17T09:03:06.193Z,BTC/USD,bittrex,yobit,2.8911
2019-08-17T09:03:36.194Z,BTC/USD,bittrex,yobit,2.923
2019-08-17T09:03:46.205Z,BTC/USD,bittrex,yobit,2.9037
2019-08-17T09:04:16.208Z,BTC/USD,kraken,exmo,1.0256
2019-08-17T09:04:56.220Z,BTC/USD,kraken,exmo,1.0256
2019-08-17T09:07:56.248Z,BTC/USD,kraken,livecoin,1.0451
2019-08-17T09:11:56.269Z,BTC/USD,kraken,livecoin,1.0449
2019-08-17T09:12:46.276Z,BTC/USD,kraken,livecoin,1.0616
2019-08-17T09:13:26.277Z,BTC/USD,kraken,livecoin,1.0734
2019-08-17T09:15:46.283Z,BTC/USD,kraken,yobit,2.7859
2019-08-17T09:16:36.288Z,TRX/USD,exmo,yobit,1.4849
2019-08-17T09:17:16.290Z,TRX/USD,exmo,yobit,1.4849
2019-08-17T09:17:46.331Z,TRX/USD,exmo,yobit,1.4849
2019-08-17T09:18:16.297Z,TRX/USD,exmo,yobit,1.4849
2019-08-17T09:18:36.299Z,ETH/USD,livecoin,yobit,1.6333
2019-08-17T09:18:36.300Z,TRX/USD,exmo,yobit,1.485
2019-08-17T09:18:46.338Z,ETH/USD,livecoin,yobit,1.6333
2019-08-17T09:18:56.304Z,TRX/USD,exmo,yobit,1.485
2019-08-17T09:19:06.302Z,ETH/USD,livecoin,yobit,1.6333
2019-08-17T09:19:16.305Z,ZEC/USD,kraken,exmo,1.4385
2019-08-17T09:19:36.306Z,ETH/USD,livecoin,yobit,1.6333
2019-08-17T09:19:36.307Z,TRX/USD,exmo,yobit,1.485
2019-08-17T09:19:46.305Z,ZEC/USD,kraken,exmo,1.4385
2019-08-17T09:20:16.307Z,ETH/USD,livecoin,yobit,1.6333
2019-08-17T09:20:16.308Z,TRX/USD,exmo,yobit,1.485
2019-08-17T09:20:46.312Z,ETH/USD,livecoin,yobit,1.6333
2019-08-17T09:20:56.310Z,TRX/USD,exmo,yobit,1.485
2019-08-17T09:21:06.309Z,ETH/USD,livecoin,yobit,1.6333
2019-08-17T09:21:36.315Z,ETH/USD,livecoin,yobit,1.6333
2019-08-17T09:21:36.315Z,TRX/USD,exmo,yobit,1.485
2019-08-17T09:21:46.313Z,ETH/USD,livecoin,yobit,1.5951
2019-08-17T09:21:56.317Z,TRX/USD,exmo,yobit,1.485
2019-08-17T09:22:26.328Z,TRX/USD,exmo,yobit,1.485
2019-08-17T09:22:56.326Z,LTC/USD,exmo,yobit,1.6831
2019-08-17T09:22:46.331Z,TRX/USD,exmo,yobit,1.4855
2019-08-17T09:23:26.344Z,ETH/USD,kraken,yobit,3.6685
2019-08-17T09:23:26.345Z,LTC/USD,kraken,livecoin,1.1421
2019-08-17T09:23:26.345Z,LTC/USD,exmo,yobit,1.6835
2019-08-17T09:23:26.346Z,TRX/USD,exmo,yobit,1.4855
2019-08-17T09:23:56.328Z,ETH/USD,kraken,yobit,3.6685
2019-08-17T09:23:56.329Z,LTC/USD,kraken,livecoin,1.156
2019-08-17T09:23:46.328Z,LTC/USD,exmo,yobit,1.6852
2019-08-17T09:23:56.329Z,TRX/USD,exmo,yobit,1.4855
2019-08-17T09:24:06.328Z,ZEC/USD,kraken,exmo,1.1489
2019-08-17T09:24:16.329Z,LTC/USD,kraken,yobit,4.2406
2019-08-17T09:24:06.329Z,LTC/USD,exmo,yobit,1.6858
2019-08-17T09:24:46.351Z,ETH/USD,kraken,yobit,3.4051
2019-08-17T09:24:46.351Z,LTC/USD,kraken,livecoin,1.1561
2019-08-17T09:24:36.331Z,LTC/USD,exmo,yobit,1.6865
2019-08-17T09:24:46.352Z,LTC/USD,kraken,yobit,4.2406
2019-08-17T09:24:36.332Z,TRX/USD,exmo,yobit,1.485
2019-08-17T09:24:46.352Z,ZEC/USD,kraken,exmo,1.1283
2019-08-17T09:24:46.353Z,LTC/USD,exmo,yobit,2.2028
2019-08-17T09:24:46.353Z,TRX/USD,exmo,yobit,1.4798
2019-08-17T09:25:26.333Z,LTC/USD,kraken,livecoin,1.1425
2019-08-17T09:25:26.333Z,LTC/USD,kraken,yobit,4.2265
2019-08-17T09:25:26.334Z,LTC/USD,kraken,exmo,1.2602
2019-08-17T09:25:26.334Z,ZEC/USD,kraken,exmo,1.1283
2019-08-17T09:25:36.354Z,ETH/USD,livecoin,yobit,1.3315
2019-08-17T09:25:56.334Z,LTC/USD,kraken,exmo,1.2602
2019-08-17T09:25:56.334Z,LTC/USD,kraken,livecoin,1.1426
2019-08-17T09:25:56.334Z,LTC/USD,kraken,yobit,4.2265
2019-08-17T09:25:56.335Z,ZEC/USD,kraken,exmo,1.0459
2019-08-17T09:26:16.336Z,ETH/USD,livecoin,yobit,1.3315
2019-08-17T09:26:26.337Z,LTC/USD,kraken,livecoin,1.1426
2019-08-17T09:26:26.338Z,LTC/USD,kraken,yobit,4.2265
2019-08-17T09:26:46.357Z,ZEC/USD,kraken,exmo,1.0253
2019-08-17T09:26:46.357Z,ETH/USD,livecoin,yobit,1.3315
2019-08-17T09:26:56.345Z,LTC/USD,kraken,livecoin,1.1428
2019-08-17T09:26:56.346Z,LTC/USD,kraken,yobit,4.2265
2019-08-17T09:27:16.343Z,ETH/USD,livecoin,yobit,1.4642
2019-08-17T09:32:43.769Z,BTC/USD,bittrex,yobit,2.713
2019-08-17T09:32:53.776Z,ETH/USD,kraken,yobit,3.4232
2019-08-17T09:32:53.777Z,ETH/USD,exmo,yobit,1.4129
2019-08-17T09:32:53.777Z,ETH/USD,bittrex,yobit,3.3842
2019-08-17T09:32:53.778Z,LTC/USD,kraken,yobit,4.043
2019-08-17T09:33:23.816Z,ETH/USD,kraken,yobit,3.4902
2019-08-17T09:33:23.817Z,ETH/USD,bittrex,yobit,3.3943
2019-08-17T09:33:23.817Z,ETH/USD,exmo,yobit,1.4129
2019-08-17T09:33:23.817Z,LTC/USD,kraken,yobit,4.0712
2019-08-17T09:33:43.781Z,ETH/USD,bittrex,yobit,3.4104
2019-08-17T09:33:53.778Z,ETH/USD,kraken,yobit,3.4344
2019-08-17T09:33:53.778Z,ETH/USD,exmo,yobit,1.4129
2019-08-17T09:33:53.779Z,LTC/USD,kraken,yobit,4.0712
2019-08-17T09:34:03.781Z,ETH/USD,bittrex,yobit,3.4099
2019-08-17T09:34:33.788Z,ETH/USD,bittrex,yobit,3.3831
2019-08-17T09:34:43.802Z,ETH/USD,kraken,yobit,3.4511
2019-08-17T09:34:33.789Z,ETH/USD,exmo,yobit,1.4129
2019-08-17T09:34:43.802Z,LTC/USD,kraken,yobit,4.0571
2019-08-17T09:34:43.803Z,ETH/USD,bittrex,yobit,3.4093
2019-08-17T09:34:43.803Z,ETH/USD,exmo,yobit,1.4129
2019-08-17T09:35:23.794Z,LTC/USD,kraken,yobit,4.0712
2019-08-17T09:35:53.805Z,LTC/USD,kraken,yobit,4.0571
2019-08-17T09:36:23.801Z,LTC/USD,kraken,yobit,4.043
2019-08-17T09:36:23.801Z,LTC/USD,exmo,yobit,1.9158
2019-08-17T09:36:43.802Z,LTC/USD,exmo,yobit,1.9158
2019-08-17T09:36:53.805Z,LTC/USD,kraken,yobit,4.0853
2019-08-17T09:37:03.805Z,LTC/USD,exmo,yobit,1.9158
2019-08-17T09:37:43.810Z,LTC/USD,kraken,yobit,4.0712
2019-08-17T09:37:33.808Z,LTC/USD,exmo,yobit,1.9163
2019-08-17T09:39:53.825Z,ETC/ETH,binance,kraken,1.1241
2019-08-17T09:43:53.865Z,ETC/ETH,binance,kraken,1.3232
2019-08-17T09:43:53.865Z,ETC/ETH,kucoin,kraken,1.0967
2019-08-17T09:44:23.861Z,ETC/ETH,binance,kraken,1.3335
2019-08-17T09:44:23.861Z,ETC/ETH,kucoin,kraken,1.0967
2019-08-17T09:44:53.877Z,ETC/ETH,binance,kraken,1.0605
2019-08-17T09:51:43.918Z,LTC/USD,kraken,exmo,1.271
2019-08-17T09:52:13.916Z,LTC/USD,kraken,exmo,1.271
2019-08-17T09:52:43.920Z,LTC/USD,kraken,exmo,1.271
2019-08-17T09:53:13.923Z,LTC/USD,kraken,exmo,1.2731
2019-08-17T09:53:53.947Z,LTC/USD,kraken,exmo,1.2731
2019-08-17T09:54:23.985Z,LTC/USD,kraken,exmo,1.2731
2019-08-17T09:54:53.952Z,LTC/USD,kraken,exmo,1.2731
2019-08-17T09:56:13.965Z,ETH/USD,kraken,yobit,3.4893
2019-08-17T09:56:43.972Z,ETH/USD,kraken,yobit,3.7724
2019-08-17T09:57:13.968Z,ETH/USD,kraken,yobit,3.506
2019-08-17T09:57:53.970Z,ETH/USD,kraken,yobit,3.506
2019-08-17T09:58:23.981Z,ETH/USD,kraken,yobit,3.5115
2019-08-17T09:58:33.975Z,ETH/USD,exmo,yobit,1.3913
2019-08-17T09:58:53.978Z,ETH/USD,kraken,yobit,3.5115
2019-08-17T09:58:43.975Z,ETH/USD,exmo,yobit,1.3913
2019-08-17T09:59:03.977Z,ETH/USD,exmo,yobit,1.3913
2019-08-17T09:59:13.979Z,LTC/USD,kraken,exmo,1.1091
2019-08-17T09:59:43.997Z,ETH/USD,kraken,yobit,3.5115
2019-08-17T09:59:34.001Z,ETH/USD,livecoin,yobit,1.3456
2019-08-17T09:59:53.989Z,LTC/USD,kraken,exmo,1.0954
2019-08-17T10:00:23.991Z,ETH/USD,kraken,yobit,3.5115
2019-08-17T10:00:23.992Z,ETH/USD,livecoin,yobit,1.3455
2019-08-17T10:00:23.992Z,LTC/USD,kraken,exmo,1.0954
2019-08-17T10:00:43.996Z,ETH/USD,livecoin,yobit,1.3834
2019-08-17T10:00:53.997Z,LTC/USD,kraken,exmo,1.1501
2019-08-17T10:01:04.001Z,ETH/USD,livecoin,yobit,1.4095
2019-08-17T10:01:34.016Z,ETH/USD,livecoin,yobit,1.4576
2019-08-17T10:02:04.008Z,ETH/USD,livecoin,yobit,1.479
2019-08-17T10:02:34.016Z,ETH/USD,livecoin,yobit,1.5004
2019-08-17T10:02:54.015Z,ETH/USD,livecoin,yobit,1.5004
2019-08-17T10:02:54.016Z,ETH/USD,exmo,yobit,1.4221
2019-08-17T10:02:54.016Z,LTC/USD,kraken,livecoin,1.004
2019-08-17T10:03:14.021Z,ETH/USD,livecoin,yobit,1.5272
2019-08-17T10:03:24.017Z,ETH/USD,exmo,yobit,1.4221
2019-08-17T10:03:24.018Z,LTC/USD,kraken,livecoin,1.0314
2019-08-17T10:03:34.020Z,ETH/USD,livecoin,yobit,1.5615
2019-08-17T10:03:54.019Z,LTC/USD,kraken,livecoin,1.0313
2019-08-17T10:04:14.021Z,ETH/USD,kraken,yobit,3.7672
2019-08-17T10:04:04.020Z,ETH/USD,livecoin,yobit,1.5621
2019-08-17T10:04:34.023Z,ETH/USD,livecoin,yobit,1.5996
2019-08-17T10:04:44.023Z,LTC/USD,kraken,livecoin,1.0313
2019-08-17T10:04:54.023Z,ETH/USD,kraken,yobit,3.7784
2019-08-17T10:05:04.025Z,ETH/USD,livecoin,yobit,1.5996
2019-08-17T10:05:14.030Z,LTC/USD,kraken,livecoin,1.0313
2019-08-17T10:05:44.030Z,LTC/USD,kraken,livecoin,1.045
2019-08-17T10:08:44.057Z,EOS/USD,kraken,exmo,1.0599
2019-08-17T10:08:54.053Z,ADA/USD,kraken,exmo,1.8924
2019-08-17T10:08:44.059Z,ETH/USD,livecoin,yobit,1.7967
2019-08-17T10:09:24.054Z,ADA/USD,kraken,exmo,1.886
2019-08-17T10:09:24.054Z,EOS/USD,kraken,exmo,1.0599
2019-08-17T10:09:24.055Z,ETH/USD,livecoin,yobit,1.7967
2019-08-17T10:09:24.055Z,ETH/USD,kraken,yobit,4.0243
2019-08-17T10:09:34.073Z,BTC/USD,livecoin,yobit,1.0156
2019-08-17T10:09:54.062Z,ADA/USD,kraken,exmo,1.886
2019-08-17T10:09:54.062Z,ETH/USD,kraken,yobit,4.0243
2019-08-17T10:09:54.063Z,EOS/USD,kraken,exmo,1.0599
2019-08-17T10:09:54.063Z,ETH/USD,livecoin,yobit,1.5683
2019-08-17T10:10:24.060Z,ADA/USD,kraken,exmo,1.7861
2019-08-17T10:10:24.061Z,EOS/USD,kraken,exmo,1.0599
2019-08-17T10:10:24.061Z,ETH/USD,kraken,yobit,4.0243
2019-08-17T10:10:24.062Z,ETH/USD,livecoin,yobit,1.569
2019-08-17T10:10:54.093Z,ADA/USD,kraken,exmo,1.8711
2019-08-17T10:10:54.094Z,EOS/USD,kraken,exmo,1.0628
2019-08-17T10:10:54.094Z,ETH/USD,kraken,yobit,4.0243
2019-08-17T10:10:54.095Z,ETH/USD,livecoin,yobit,1.6604
2019-08-17T10:11:44.093Z,ADA/USD,kraken,exmo,1.7287
2019-08-17T10:11:44.093Z,EOS/USD,kraken,exmo,1.0628
2019-08-17T10:11:44.093Z,ETH/USD,kraken,yobit,4.0243
2019-08-17T10:11:34.099Z,ETH/USD,livecoin,yobit,1.7974
2019-08-17T10:12:14.097Z,ADA/USD,kraken,exmo,1.8243
2019-08-17T10:12:14.097Z,ETH/USD,kraken,yobit,4.0243
2019-08-17T10:12:04.097Z,ETH/USD,livecoin,yobit,1.8349
2019-08-17T10:13:14.102Z,LTC/USD,kraken,exmo,1.0224
2019-08-17T10:13:44.103Z,BTC/USD,bittrex,yobit,2.5109
2019-08-17T10:13:54.107Z,LTC/USD,kraken,exmo,1.0366
2019-08-17T10:14:04.106Z,BTC/USD,bittrex,yobit,2.5666
2019-08-17T10:14:34.112Z,BTC/USD,bittrex,yobit,2.6369
2019-08-17T10:14:44.112Z,LTC/USD,kraken,exmo,1.0366
2019-08-17T10:14:44.112Z,BTC/USD,bittrex,yobit,2.604
2019-08-17T10:15:14.118Z,BTC/USD,bittrex,yobit,2.5897
2019-08-17T10:15:44.119Z,BTC/USD,bittrex,yobit,2.6045
2019-08-17T10:16:04.124Z,BTC/USD,bittrex,yobit,2.6196
2019-08-17T10:16:14.121Z,ETH/USD,kraken,yobit,4.0805
2019-08-17T10:16:34.123Z,BTC/USD,bittrex,yobit,2.6331
2019-08-17T10:16:44.125Z,ETH/USD,kraken,yobit,4.0917
2019-08-17T10:17:04.130Z,BTC/USD,bittrex,yobit,2.6567
2019-08-17T10:17:14.131Z,ETH/USD,kraken,yobit,4.0243
2019-08-17T10:17:34.139Z,BTC/USD,bittrex,yobit,2.6601
2019-08-17T10:17:44.141Z,ETH/USD,kraken,yobit,4.0805
2019-08-17T10:17:54.138Z,BTC/USD,kraken,yobit,2.7467
2019-08-17T10:18:24.139Z,ADA/USD,kraken,exmo,1.1537
2019-08-17T10:18:24.140Z,BTC/USD,bittrex,yobit,2.6624
2019-08-17T10:18:24.140Z,ETH/USD,kraken,yobit,4.1171
2019-08-17T10:18:54.144Z,ADA/USD,kraken,exmo,1.1537
2019-08-17T10:18:54.144Z,BTC/USD,bittrex,yobit,2.7058
2019-08-17T10:18:54.145Z,ETH/USD,kraken,yobit,4.1171
2019-08-17T10:19:24.143Z,ADA/USD,kraken,exmo,1.1051
2019-08-17T10:19:24.144Z,BTC/USD,bittrex,yobit,2.7068
2019-08-17T10:19:24.144Z,ETH/USD,kraken,yobit,4.1339
2019-08-17T10:19:44.147Z,ETH/USD,kraken,livecoin,1.2979
