opp_created_at,symbol,base,quote,buy_at,sell_at,invest.min.base,invest.min.quote,invest.min.profit,invest.min.profit_percent,invest.max.base,invest.max.quote,invest.max.profit,invest.max.profit_percent,profit_loop_percent
2019-09-11T00:00:35.253Z,BCH/BTC,BCH,BTC,livecoin,binance,0.12000056000261335,0.0036,3.6e-06,0.1,0.17600661,0.0052801736590746004,5.6364800323063165e-06,0.1067480048240338,-0.4239
2019-09-11T00:00:50.138Z,BCH/BTC,BCH,BTC,livecoin,kucoin,0.12000056000261335,0.0036,3.6e-06,0.1,0.17600661,0.0052801736590746004,5.46064942891671e-06,0.10341798928396873,-0.4272
2019-09-11T00:01:40.086Z,BCH/BTC,BCH,BTC,livecoin,binance,0.12000056000261335,0.0036,3.6e-06,0.1,0.17600661,0.0052801736590746004,7.043124859426832e-06,0.13338812914462372,-0.3973
2019-09-11T00:14:44.530Z,ETH/BTC,ETH,BTC,livecoin,poloniex,0.3360536050870376,0.006,6e-06,0.1,0.7928201800000001,0.014155244901383998,2.953542878272674e-05,0.2086536049958343,-0.5051
2019-09-11T00:14:44.709Z,ETH/BTC,ETH,BTC,livecoin,binance,0.3360536050870376,0.006,6e-06,0.1,0.7928201800000001,0.014155244901383998,3.0091543258355385e-05,0.2125822864104121,-0.254
2019-09-11T00:14:45.709Z,ETH/BTC,ETH,BTC,livecoin,kucoin,0.3360536050870376,0.006,6e-06,0.1,0.7928201800000001,0.014155244901383998,4.208227034576033e-05,0.29729100866100755,-0.4829
2019-09-11T00:18:15.949Z,XEM/BTC,XEM,BTC,poloniex,livecoin,0.2288329519450801,1e-06,1e-09,0.1,372,0.0016256399999999998,1.157626800000013e-05,0.7121052631579028,0.1435
2019-09-11T00:25:05.582Z,ATOM/BTC,ATOM,BTC,poloniex,binance,0.003847041624990382,1e-06,1e-09,0.1,1.5,0.00038991000000000004,5.234250000000268e-07,0.13424251750404625,-0.3667
2019-09-11T00:42:29.945Z,XMR/BTC,XMR,BTC,kucoin,binance,0.13972178636644064,0.001,1e-06,0.1,7.029000000000001,0.050307115180773805,7.035744604543441e-05,0.13985585496725794,-0.338
2019-09-11T00:42:46.976Z,XMR/BTC,XMR,BTC,kucoin,kraken,0.13971457094467274,0.001,1e-06,0.1,18.651,0.13349359249999657,0.00018247314290344304,0.13669056280993241,-0.3592
2019-09-11T00:50:30.507Z,BCH/BTC,BCH,BTC,livecoin,kucoin,0.12000084000588004,0.0036,3.6e-06,0.1,0.17600661,0.0052801613386119,5.648822671839187e-06,0.10698200887407361,-0.4236
2019-09-11T01:16:11.370Z,XEM/BTC,XEM,BTC,poloniex,exmo,0.2288329519450801,1e-06,1e-09,0.1,798.06749838,0.0034875549679205995,1.6164857179687205e-05,0.4635011441647685,-0.1043
2019-09-11T01:23:50.319Z,XEM/BTC,XEM,BTC,poloniex,exmo,0.2288329519450801,1e-06,1e-09,0.1,227.7904328,0.0009954441913359998,2.3405466970201884e-06,0.23512585812358877,-0.332
2019-09-11T01:23:55.674Z,XEM/BTC,XEM,BTC,gateio,exmo,22.831050228310502,0.0001,1.0000000000000001e-07,0.1,726.33586988,0.0031813511100744003,9.021091503909442e-06,0.28356164383561144,-0.0121
2019-09-11T01:27:55.933Z,XEM/BTC,XEM,BTC,poloniex,exmo,0.2288329519450801,1e-06,1e-09,0.1,227.7904328,0.0009954441913359998,2.3405466970201884e-06,0.23512585812358877,-0.332
2019-09-11T01:28:01.067Z,XEM/BTC,XEM,BTC,gateio,exmo,22.831050228310502,0.0001,1.0000000000000001e-07,0.1,706.29291847,0.0030935629828986004,8.772158047397247e-06,0.28356164383561144,-0.0121
2019-09-11T01:52:36.290Z,VET/USDT,VET,USDT,binance,kucoin,256.4102564102564,1,0.001,0.1,1570.8407354,6.12627886806,0.006264827020923021,0.10226153846155056,-0.437
2019-09-11T01:53:40.125Z,VET/USDT,VET,USDT,binance,kucoin,256.4760194921775,1,0.001,0.1,1570.8407354,6.1247080273245995,0.007837238597057955,0.1279610156450417,-0.4113
2019-09-11T01:54:40.529Z,VET/USDT,VET,USDT,binance,kucoin,256.4760194921775,1,0.001,0.1,1570.8407354,6.1247080273246,0.00783723859705726,0.12796101564503032,-0.4113
2019-09-11T01:55:40.817Z,VET/USDT,VET,USDT,binance,kucoin,256.4760194921775,1,0.001,0.1,1570.8407354,6.1247080273246,0.00783723859705726,0.12796101564503032,-0.4113
2019-09-11T02:00:46.009Z,DASH/BTC,DASH,BTC,livecoin,binance,1.5325183524391144,0.0127,1.27e-05,0.1,1.75489381,0.014542828378876101,2.5960295889643393e-05,0.17850926390186594,-0.1023
2019-09-11T02:01:31.536Z,DCR/BTC,DCR,BTC,binance,poloniex,0.44464355945684036,0.001,1e-06,0.1,20.81516298,0.04681314400556484,0.00034919844836667603,0.7459410295646146,0.2859
2019-09-11T02:07:41.059Z,DASH/BTC,DASH,BTC,livecoin,binance,1.5325183524391144,0.0127,1.27e-05,0.1,1.75489381,0.014542828378876101,2.9329727122211874e-05,0.2016782867685779,-0.0902
2019-09-11T02:08:41.222Z,DASH/BTC,DASH,BTC,livecoin,binance,1.5325183524391144,0.0127,1.27e-05,0.1,1.75489381,0.014542828378876101,3.879786812527184e-05,0.2667835108446093,-0.0179
2019-09-11T02:09:40.805Z,DASH/BTC,DASH,BTC,livecoin,binance,1.5325183524391144,0.0127,1.27e-05,0.1,1.75489381,0.014542828378876101,4.100153837267757e-05,0.28193647964816493,-0.0058
2019-09-11T02:10:46.072Z,DASH/BTC,DASH,BTC,livecoin,binance,1.5325183524391144,0.0127,1.27e-05,0.1,1.75489381,0.014542828378876101,4.353924861803086e-05,0.2993863881476655,0.0183
2019-09-11T02:11:41.073Z,DASH/BTC,DASH,BTC,livecoin,binance,1.5325183524391144,0.0127,1.27e-05,0.1,1.75489381,0.014542828378876101,4.874008967786676e-05,0.3351486272688414,0.0545
2019-09-11T02:12:41.105Z,DASH/BTC,DASH,BTC,livecoin,binance,1.5321421348827011,0.0127,1.27e-05,0.1,2.0812561,0.0172516321222532,5.6891488234202085e-05,0.32977452701890564,0.0907
2019-09-11T02:13:41.093Z,DASH/BTC,DASH,BTC,livecoin,binance,1.5321421348827011,0.0127,1.27e-05,0.1,2.0812561,0.0172516321222532,5.731385434191813e-05,0.33222279454932224,0.0907
2019-09-11T02:15:15.883Z,DASH/ETH,DASH,ETH,bittrex,binance,0.022663284672943363,0.01052392,1.052392e-05,0.1,0.26380360999999997,0.12249981092394929,0.000126848225838773,0.10354973194001359,-0.5536
2019-09-11T02:24:51.732Z,XMR/BTC,XMR,BTC,poloniex,binance,0.00013819904532099493,1e-06,1e-09,0.1,0.81891837,0.0059256441902178,7.124712656756331e-06,0.12023524241495942,-0.3536
2019-09-11T02:27:08.022Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476362897117834,0.00555492,5.55492e-06,0.1,0.19122422,0.009255852692050799,4.553663464067473e-05,0.4919766568863282,0.0901
2019-09-11T02:27:17.630Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360617803646,0.00555492,5.55492e-06,0.1,3.64085713,0.17622895238412445,0.0008561916479716432,0.4858405139386013,0.0901
2019-09-11T02:28:41.649Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360617803646,0.00555492,5.55492e-06,0.1,3.64085713,0.17622895238412445,0.0008561916479716432,0.4858405139386013,0.0901
2019-09-11T02:29:11.149Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360617803646,0.00555492,5.55492e-06,0.1,3.64085713,0.17622895238412445,0.0008561916479716432,0.4858405139386013,0.0901
2019-09-11T02:29:41.532Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360617803646,0.00555492,5.55492e-06,0.1,3.64085713,0.17622895238412445,0.0008561916479716432,0.4858405139386013,0.0901
2019-09-11T02:30:14.156Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360617803646,0.00555492,5.55492e-06,0.1,3.64085713,0.17622895238412445,0.0008561916479716432,0.4858405139386013,0.0901
2019-09-11T02:30:41.530Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360617803646,0.00555492,5.55492e-06,0.1,3.64085713,0.17622895238412445,0.0008561916479716432,0.4858405139386013,0.0901
2019-09-11T02:31:12.672Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360617803646,0.00555492,5.55492e-06,0.1,3.64085713,0.17622895238412445,0.0008561916479716432,0.4858405139386013,0.0901
2019-09-11T02:31:41.540Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360617803646,0.00555492,5.55492e-06,0.1,3.64085713,0.17622895238412445,0.0008561916479716432,0.4858405139386013,0.0901
2019-09-11T02:32:19.376Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360617803646,0.00555492,5.55492e-06,0.1,3.64085713,0.17622895238412445,0.0008561916479716432,0.4858405139386013,0.0901
2019-09-11T02:33:41.714Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360617803646,0.00555492,5.55492e-06,0.1,4.94532422,0.23936926810705075,0.0008744442634825725,0.365311834053611,0.0901
2019-09-11T02:34:12.705Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360617803646,0.00555492,5.55492e-06,0.1,4.94532422,0.23936926810705075,0.0008744442634825725,0.365311834053611,-0.2801
2019-09-11T02:34:41.603Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360535621435,0.00555492,5.55492e-06,0.1,4.773222430000001,0.23103900107143022,0.0012201885504307779,0.5281309842806725,-0.2801
2019-09-11T02:35:17.904Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360526122782,0.00555492,5.55492e-06,0.1,4.2704936,0.20670534229484,0.0011021380630869097,0.5331928293923066,-0.0333
2019-09-11T02:35:41.661Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360526122782,0.00555492,5.55492e-06,0.1,4.01912918,0.194538512568917,0.0010372653994239166,0.5331928293923066,0.1312
2019-09-11T02:36:13.232Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360526122782,0.00555492,5.55492e-06,0.1,3.89344697,0.18845509770595548,0.00100482906759242,0.5331928293923066,-0.0333
2019-09-11T02:36:41.735Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360526122782,0.00555492,5.55492e-06,0.1,3.78033298,0.182980024280887,0.000975636368685991,0.5331928293923066,0.1312
2019-09-11T02:37:13.245Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360526122782,0.00555492,5.55492e-06,0.1,3.78033298,0.182980024280887,0.000975636368685991,0.5331928293923066,0.1312
2019-09-11T02:37:41.748Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360526122782,0.00555492,5.55492e-06,0.1,3.78033298,0.182980024280887,0.000975636368685991,0.5331928293923066,0.1312
2019-09-11T02:39:36.099Z,XTZ/USDT,XTZ,USDT,gateio,kucoin,9.870693909781859e-05,0.0001,1.0000000000000001e-07,0.1,3.6023,3.6494901299999998,0.006253304616000161,0.17134734971868965,-0.3396
2019-09-11T02:39:40.975Z,DCR/BTC,DCR,BTC,binance,poloniex,0.4481502783041923,0.001,1e-06,0.1,0.7339649699999999,0.0016377652888609933,2.8862574736061914e-06,0.17623144740193386,-0.2501
2019-09-11T02:46:35.599Z,BNB/BTC,BNB,BTC,kucoin,binance,0.46614309649076074,0.001,1e-06,0.1,99.3403,0.21311116854,0.00032497025088247007,0.15248860634982375,-0.3018
2019-09-11T02:47:41.019Z,DCR/BTC,DCR,BTC,binance,poloniex,0.44826341335660014,0.001,1e-06,0.1,0.52804874,0.001177987594494868,2.6889611271415732e-06,0.22826735525127706,-0.2501
2019-09-11T02:51:11.967Z,DCR/BTC,DCR,BTC,binance,poloniex,0.4482630070313404,0.001,1e-06,0.1,0.47635345,0.0010626650928763695,2.498202285930117e-06,0.23508839263441939,-0.2047
2019-09-11T02:52:11.970Z,DCR/BTC,DCR,BTC,binance,poloniex,0.44802366677569233,0.001,1e-06,0.1,0.48395096,0.0010801906146674502,1.9635235517862904e-06,0.18177565377114346,-0.3395
2019-09-11T02:52:41.740Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360526122782,0.00555492,5.55492e-06,0.1,0.477,0.02308830255,3.7892939625003085e-05,0.16412180818811684,-0.2801
2019-09-11T02:52:46.369Z,MKR/BTC,MKR,BTC,bittrex,kucoin,0.11476360526122782,0.00555492,5.55492e-06,0.1,0.3852,0.01864489338,0.00011824181054999928,0.6341779925480018,0.132
2019-09-11T02:53:12.871Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360526122782,0.00555492,5.55492e-06,0.1,0.477,0.02308830255,3.7892939625003085e-05,0.16412180818811684,-0.2369
2019-09-11T02:53:41.772Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360526122782,0.00555492,5.55492e-06,0.1,0.477,0.02308830255,3.7892939625003085e-05,0.16412180818811684,-0.2369
2019-09-11T02:54:13.390Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360526122782,0.00555492,5.55492e-06,0.1,0.477,0.02308830255,3.7892939625003085e-05,0.16412180818811684,-0.2369
2019-09-11T02:54:41.778Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.477,0.023088302550000002,3.789293962499668e-05,0.16412180818808908,-0.2369
2019-09-11T02:55:12.006Z,DCR/BTC,DCR,BTC,binance,poloniex,0.4481517317881708,0.001,1e-06,0.1,0.47459245,0.0010589994779364748,2.2267988231114633e-06,0.2102738357766254,-0.2497
2019-09-11T02:55:12.891Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.477,0.023088302550000002,3.789293962499668e-05,0.16412180818808908,-0.2369
2019-09-11T02:55:41.784Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.477,0.023088302550000002,3.789293962499668e-05,0.16412180818808908,-0.2369
2019-09-11T02:56:13.395Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.477,0.023088302550000002,3.789293962499668e-05,0.16412180818808908,-0.2369
2019-09-11T02:56:41.903Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.477,0.023088302550000002,3.789293962499668e-05,0.16412180818808908,-0.2369
2019-09-11T02:57:12.898Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.477,0.023088302550000002,3.789293962499668e-05,0.16412180818808908,-0.2369
2019-09-11T02:57:41.904Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.477,0.023088302550000002,3.789293962499668e-05,0.16412180818808908,-0.2369
2019-09-11T02:58:12.019Z,DCR/BTC,DCR,BTC,binance,poloniex,0.4480885552103048,0.001,1e-06,0.1,0.62507755,0.0013949866443400405,2.184014083910667e-06,0.1565616482976373,-0.1601
2019-09-11T02:58:18.637Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.477,0.023088302550000002,3.789293962499668e-05,0.16412180818808908,-0.2369
2019-09-11T02:58:31.398Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,1.03,2.805719999114453,0.0065266178877611,0.23261829012948707,0.0356
2019-09-11T02:58:41.776Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.477,0.023088302550000002,3.789293962499668e-05,0.16412180818808908,-0.2369
2019-09-11T02:58:43.411Z,MKR/BTC,MKR,BTC,bittrex,kucoin,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.72751603,0.0352140675274945,4.8890623187555814e-05,0.13883832973678178,-0.3621
2019-09-11T02:59:11.998Z,DCR/BTC,DCR,BTC,binance,poloniex,0.44788389871382506,0.001,1e-06,0.1,0.72317495,0.0016146482427180798,1.8761436425380892e-06,0.11619519303968096,-0.1596
2019-09-11T02:59:12.909Z,MKR/BTC,MKR,BTC,bittrex,bitfinex,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.477,0.023088302550000002,3.789293962499668e-05,0.16412180818808908,-0.2369
2019-09-11T02:59:41.799Z,MKR/BTC,MKR,BTC,bittrex,ethfinex,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.36375802,0.017607034005763002,2.889698257854997e-05,0.16412180818808908,-0.2369
2019-09-11T02:59:42.737Z,MKR/BTC,MKR,BTC,bittrex,kucoin,0.11476360526122781,0.00555492,5.55492e-06,0.1,0.36375802,0.017607034005763002,2.4445311929788535e-05,0.13883832973678178,-0.3621
2019-09-11T02:59:44.917Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,1.2417,3.3823907989324424,0.007048577420225937,0.2083903912714824,0.0356
2019-09-11T03:00:11.117Z,DCR/BTC,DCR,BTC,binance,poloniex,0.4481343686171757,0.001,1e-06,0.1,0.6248413500000001,0.001394316958835573,2.325680404642264e-06,0.166797110936992,-0.2051
2019-09-11T03:00:44.863Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267282500981,0.00211199,2.11199e-06,0.1,0.60065286,1.6361783846334712,0.0038742169685449927,0.23678450986338362,0.0356
2019-09-11T03:01:38.533Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267282500981,0.00211199,2.11199e-06,0.1,0.60065286,1.6361783846334712,0.0038742169685449927,0.23678450986338362,0.0356
2019-09-11T03:02:41.919Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267282500981,0.00211199,2.11199e-06,0.1,0.60065286,1.6361783846334712,0.0038742169685449927,0.23678450986338362,0.0356
2019-09-11T03:03:43.433Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267282500981,0.00211199,2.11199e-06,0.1,0.60065286,1.6361783846334712,0.0038742169685449927,0.23678450986338362,0.0356
2019-09-11T03:03:46.068Z,DCR/BTC,DCR,BTC,binance,poloniex,0.4486315857539302,0.001,1e-06,0.1,0.48470632,0.001080410598343061,3.434049885171713e-06,0.3178467418255837,-0.2047
2019-09-11T03:04:42.931Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,0.9939,2.7073835991454898,0.006411844666645753,0.23682808260600655,0.0392
2019-09-11T03:05:43.446Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267282500981,0.00211199,2.11199e-06,0.1,0.60065286,1.6361783846334712,0.0038742169685449927,0.23678450986338362,0.0356
2019-09-11T03:06:42.946Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267282500981,0.00211199,2.11199e-06,0.1,0.60065286,1.6361783846334712,0.0038742169685449927,0.23678450986338362,0.0356
2019-09-11T03:07:42.964Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267282500981,0.00211199,2.11199e-06,0.1,0.60065286,1.6361783846334712,0.0038742169685449927,0.23678450986338362,0.0356
2019-09-11T03:08:12.079Z,DCR/BTC,DCR,BTC,binance,poloniex,0.4481570120401771,0.001,1e-06,0.1,0.51811171,0.0011560941725342268,2.3623103697836576e-06,0.20433546210213427,-0.1601
2019-09-11T03:08:42.966Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,1.0907,2.9710667990622657,0.007045875070078492,0.23714966867464327,0.0392
2019-09-11T03:09:43.533Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267282500981,0.00211199,2.11199e-06,0.1,0.60065286,1.6361783846334712,0.0038742169685449927,0.23678450986338362,0.0356
2019-09-11T03:10:42.982Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267282500981,0.00211199,2.11199e-06,0.1,0.60065286,1.6361783846334712,0.0038742169685449927,0.23678450986338362,0.0356
2019-09-11T03:11:11.103Z,DCR/BTC,DCR,BTC,binance,poloniex,0.44853440780853426,0.001,1e-06,0.1,0.71550137,0.0015951984007109346,4.168794052355469e-06,0.2613338911634788,-0.1601
2019-09-11T03:11:42.995Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,1.0171,2.770580399125543,0.006563802366642689,0.23691073425316844,0.0392
2019-09-11T03:12:12.092Z,DCR/BTC,DCR,BTC,binance,poloniex,0.4485129145800642,0.001,1e-06,0.1,0.61711531,0.0013759142489303694,3.4537083488891646e-06,0.25101188911838546,-0.1601
2019-09-11T03:12:42.008Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,1.035,2.8193399991101535,0.006681045592070828,0.23697197195724937,0.0392
2019-09-11T03:13:43.518Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,1.1151,3.0375323990412872,0.0072056926511091255,0.2372219191269664,0.0392
2019-09-11T03:13:46.101Z,ATOM/BTC,ATOM,BTC,poloniex,kucoin,0.003874767513949163,1e-06,1e-09,0.1,1.46058823,0.00037694861039839995,5.629545214888609e-07,0.14934516429013223,-0.3517
2019-09-11T03:14:12.105Z,DCR/BTC,DCR,BTC,binance,poloniex,0.44887167352656715,0.001,1e-06,0.1,0.6167221199999999,0.0013739386028855712,4.551248852194168e-06,0.331255621076193,-0.115
2019-09-11T03:14:43.013Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267282500981,0.00211199,2.11199e-06,0.1,0.60065286,1.6361783846334712,0.0038742169685449927,0.23678450986338362,0.0356
2019-09-11T03:15:12.148Z,DCR/BTC,DCR,BTC,binance,poloniex,0.44886117606570874,0.001,1e-06,0.1,0.71369361,0.0015900096690374542,5.317354100969939e-06,0.33442275254771947,-0.1146
2019-09-11T03:15:43.533Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,1.0373999999999999,2.82587759910809,0.006702299814139475,0.2371758711790939,0.0356
2019-09-11T03:16:12.222Z,DCR/BTC,DCR,BTC,binance,poloniex,0.44891926830109624,0.001,1e-06,0.1,0.61531325,0.001370654577444649,4.685070227083568e-06,0.3418126130522309,-0.115
2019-09-11T03:16:43.546Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,1.0373999999999999,2.82587759910809,0.006702299814139475,0.2371758711790939,0.0429
2019-09-11T03:17:43.046Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,1.0373999999999999,2.82587759910809,0.006702299814139475,0.2371758711790939,0.0429
2019-09-11T03:18:45.062Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,0.2565,0.6987059997794729,0.001742367191078334,0.24937057812989494,0.0539
2019-09-11T03:19:45.071Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,1.0373999999999999,2.82587759910809,0.0067189031941395335,0.2377634189202027,0.0539
2019-09-11T03:20:44.566Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,0.09129999999999999,0.24870119992150438,0.0006602136786918311,0.26546461331919957,0.0685
2019-09-11T03:21:44.578Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,1.0373999999999999,2.82587759910809,0.006741041034139279,0.23854681590833593,0.0685
2019-09-11T03:22:44.588Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,0.7777000000000001,2.118454799331369,0.010382334130303006,0.4900899529968683,0.2916
2019-09-11T03:23:48.216Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007752135308023515,0.00211199,2.11199e-06,0.1,1.1153,3.0385208118878397,0.007826735232440919,0.2575837296167194,0.3392
2019-09-11T03:24:43.610Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,0.9929,2.7046595991463493,0.006405294765784548,0.236824433204319,0.0392
2019-09-11T03:25:43.621Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,0.9911,2.6997563991478972,0.006393504944232887,0.23681784572307404,0.0392
2019-09-11T03:26:43.639Z,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0007753267256485281,0.00211199,2.11199e-06,0.1,0.9911,2.6997563991478972,0.006393504944232887,0.23681784572307404,0.0392
