"dash/usdt-exmo-coss","2019-08-08T13:48:32.496Z","DASH/USDT",0.00950953,"exmo",105.15765526,"coss",164,196.21743267,20547.45578703,55.7004
"cro/btc-kucoin-livecoin","2019-08-08T13:50:08.067Z","CRO/BTC",248138.95781638,"kucoin",0.00000403,"livecoin",0.0000045,219871.29721243,0.8681668653569468,11.4509
"eth/usd-cobinhood-livecoin","2019-08-08T13:50:08.126Z","ETH/USD",0.00550025,"cobinhood",181.81,"livecoin",226,0,,24.0813
"leo/btc-bitz-okex","2019-08-08T13:50:08.139Z","LEO/BTC",371747.21189591,"bitz",0.00000269,"okex",0.00010533,12882.1,0.03,3811.5978
"xlm/usd-kraken-coss","2019-08-08T13:50:08.280Z","XLM/USD",12.94665976,"kraken",0.07724,"coss",0.088,2478370.7226612,193036.37976233906,13.7167
"omg/usd-bitfinex-coss","2019-08-08T13:50:08.239Z","OMG/USD",0.69988802,"bitfinex",1.4288,"coss",1.6,229644.49012521,,11.7701
"dash/usdt-exmo-coss","2019-08-08T13:50:08.078Z","DASH/USDT",0.00950953,"exmo",105.15765526,"coss",164,195.76595663,20566.31982172,55.7004
"cro/btc-hitbtc-livecoin","2019-08-08T13:51:08.359Z","CRO/BTC",248323.81425379,"hitbtc",0.000004027,"livecoin",0.0000045,3409734.6,13.6393949819,11.534
"leo/btc-bitz-bitfinex","2019-08-08T13:51:17.901Z","LEO/BTC",371747.21189591,"bitz",0.00000269,"bitfinex",0.00010538,12882.1,0.03,3813.4546
"bat/btc-bittrex-zb","2019-08-08T13:56:54.410Z","BAT/BTC",54764.51259584,"bittrex",0.00001826,"zb",0.0000187379,2836472.2548508,51.96720646,2.4146
"btg/usd-exmo-livecoin","2019-08-08T13:56:54.417Z","BTG/USD",0.0622665,"exmo",16.05999997,"livecoin",17,4009.56537183,64223.40981201,5.6472
"cro/btc-kucoin-livecoin","2019-08-08T13:56:54.419Z","CRO/BTC",248138.95781638,"kucoin",0.00000403,"livecoin",0.0000045,221002.48871243,0.8724935517099468,11.4509
"dash/usdt-zb-coss","2019-08-08T13:56:54.420Z","DASH/USDT",0.00951104,"zb",105.141,"coss",164,430210.837,,55.725
"etc/btc-poloniex-kraken","2019-08-08T13:56:54.423Z","ETC/BTC",1959.78520754,"poloniex",0.00051026,"kraken",0.000528,30291.66467004,15.22090929,3.2732
"etc/eth-bittrex-kraken","2019-08-08T13:56:54.424Z","ETC/ETH",37.16462181,"bittrex",0.02690731,"kraken",0.02789,3585.09248092,94.9301739,3.4485
"etc/usd-bittrex-kraken","2019-08-08T13:56:54.424Z","ETC/USD",0.16619578,"bittrex",6.017,"kraken",6.226,5476.7199412,32516.6309376,3.27
"eth/usdt-exmo-bleutrade","2019-08-08T13:56:54.426Z","ETH/USDT",0.00450192,"exmo",222.12754436,"bleutrade",228.99389,582.94304992,128830.04095087,2.8881
"leo/btc-bitz-okex","2019-08-08T13:56:54.426Z","LEO/BTC",371747.21189591,"bitz",0.00000269,"okex",0.00010531,12882.1,0.03,3810.855
"leo/eth-bitfinex-coss","2019-08-08T13:56:54.427Z","LEO/ETH",178.89087657,"bitfinex",0.00559,"coss",0.00581,985.64718276,,3.7317
"omg/btc-bittrex-coss","2019-08-08T13:56:54.428Z","OMG/BTC",8290.49908805,"bittrex",0.00012062,"coss",0.000125,22292.82220899,2.69233796,3.4276
"omg/eth-binance-coinexchange","2019-08-08T13:56:54.429Z","OMG/ETH",156.56802881,"binance",0.006387,"coinexchange",0.007,111831.75,709.87396845,9.388
"omg/usd-bitfinex-coss","2019-08-08T13:56:54.429Z","OMG/USD",0.699986,"bitfinex",1.4286,"coss",1.6,224950.76655609,,11.7858
"eth/usd-cobinhood-livecoin","2019-08-08T13:56:54.425Z","ETH/USD",0.00550025,"cobinhood",181.81,"livecoin",225.85,0,,23.9989
"qtum/eth-gateio-coinexchange","2019-08-08T13:56:54.430Z","QTUM/ETH",77.82101167,"gateio",0.01285,"coinexchange",0.0133,479.26221,6.15091984,3.2984
"trx/usd-bittrex-coss","2019-08-08T13:56:54.431Z","TRX/USD",45.45454545,"bittrex",0.022,"coss",0.023,4300387.43666937,94010.99684516,4.3409
"xlm/usd-kraken-coss","2019-08-08T13:56:54.432Z","XLM/USD",12.92423812,"kraken",0.077374,"coss",0.088,2478370.7226612,193036.40454604628,13.5196
"bch/usdt-coinexchange-zb","2019-08-08T13:56:54.415Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"zb",331.9,,0.35350057,7.2357
"zec/btc-poloniex-cobinhood","2019-08-08T13:56:54.433Z","ZEC/BTC",189.34481015,"poloniex",0.00528137,"cobinhood",0.0055,3534.80259669,18.6747516,3.9355
"bat/btc-hitbtc-zb","2019-08-08T13:57:12.663Z","BAT/BTC",54701.60275696,"hitbtc",0.000018281,"zb",0.0000187379,1411972.1,26.0870984133,2.2968
"dash/usdt-exmo-coss","2019-08-08T13:57:12.665Z","DASH/USDT",0.00950953,"exmo",105.15765526,"coss",164,195.9687487,20542.16736356,55.7004
"omg/eth-bitfinex-coinexchange","2019-08-08T13:57:34.204Z","OMG/ETH",156.56067509,"bitfinex",0.0063873,"coinexchange",0.007,2836.88525753,,9.3829
"bat/btc-poloniex-zb","2019-08-08T13:57:54.647Z","BAT/BTC",54644.80874317,"poloniex",0.0000183,"zb",0.0000187379,849126.050714,15.49751952,2.1905
"etc/eth-poloniex-kraken","2019-08-08T13:57:54.649Z","ETC/ETH",37.20931617,"poloniex",0.02687499,"kraken",0.02789,574.39899309,15.25791148,3.573
"omg/btc-bittrex-zb","2019-08-08T13:57:54.651Z","OMG/BTC",8290.49908805,"bittrex",0.00012062,"zb",0.00012677,22312.82220899,2.69474556,4.8936
"zec/btc-bitfinex-cobinhood","2019-08-08T13:58:26.341Z","ZEC/BTC",189.14318139,"bitfinex",0.005287,"cobinhood",0.0055,8468.49754408,,3.8247
"bat/btc-bitfinex-zb","2019-08-08T13:58:39.531Z","BAT/BTC",54585.15283843,"bitfinex",0.00001832,"zb",0.0000187379,31151.38214944,,2.0788
"bch/usdt-coinexchange-bitz","2019-08-08T13:58:39.533Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"bitz",331.3,,0.35350057,7.0417
"etc/eth-binance-kraken","2019-08-08T13:58:39.534Z","ETC/ETH",37.18578016,"binance",0.026892,"kraken",0.02789,20056.34,534.74559432,3.5074
"eth/usdt-bittrex-bleutrade","2019-08-08T13:58:39.535Z","ETH/USDT",0.00450209,"bittrex",222.119,"bleutrade",228.99389,3060.50851993,689764.26051881,2.892
"omg/btc-okex-coss","2019-08-08T13:58:39.536Z","OMG/BTC",8291.87396352,"okex",0.0001206,"coss",0.000125,2233319.4836,,3.4448
"omg/eth-hitbtc-coinexchange","2019-08-08T13:58:39.542Z","OMG/ETH",156.8406029,"hitbtc",0.0063759,"coinexchange",0.007,57644.77,366.038671653,9.5786
"dash/usdt-okex-coss","2019-08-08T13:59:08.134Z","DASH/USDT",0.00954198,"okex",104.8,"coss",164,16111.4,,56.2321
"omg/eth-okex-coinexchange","2019-08-08T13:59:08.136Z","OMG/ETH",156.98587127,"okex",0.00637,"coinexchange",0.007,12088.5572,,9.6802
"zec/btc-binance-cobinhood","2019-08-08T13:59:08.137Z","ZEC/BTC",189.21475875,"binance",0.005285,"cobinhood",0.0055,82932.433,444.92248414,3.864
"leo/btc-bitz-bitfinex","2019-08-08T13:59:17.977Z","LEO/BTC",371747.21189591,"bitz",0.00000269,"bitfinex",0.00010616,12882.1,0.03,3842.4219
"trx/usd-bitfinex-coss","2019-08-08T13:59:17.979Z","TRX/USD",45.57261997,"bitfinex",0.021943,"coss",0.023,2914371.80132501,,4.6122
"zec/btc-hitbtc-cobinhood","2019-08-08T13:59:17.980Z","ZEC/BTC",189.68133536,"hitbtc",0.005272,"cobinhood",0.0055,71611.768,379.102304989,4.1204
"etc/eth-okex-kraken","2019-08-08T13:59:58.902Z","ETC/ETH",37.21622627,"okex",0.02687,"kraken",0.02789,2035681.88271,,3.5923
"bch/usdt-coinexchange-bitfinex","2019-08-08T14:00:12.469Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"bitfinex",328.66,,0.35350057,6.1879
"dash/usdt-binance-coss","2019-08-08T14:00:12.471Z","DASH/USDT",0.00954381,"binance",104.78,"coss",164,2425.81709,259337.7885659,56.2619
"eth/usdt-coss-bleutrade","2019-08-08T14:00:12.472Z","ETH/USDT",0.00451011,"coss",221.724,"bleutrade",228.99389,5427.109992029189,1203320.53587268,3.0755
"bat/btc-binance-zb","2019-08-08T14:00:45.316Z","BAT/BTC",54704.595186,"binance",0.00001828,"zb",0.0000187379,11593848,215.13147964,2.3024
"etc/btc-bitfinex-kraken","2019-08-08T14:00:45.318Z","ETC/BTC",1955.0342131,"bitfinex",0.0005115,"kraken",0.000529,31773.17289315,,3.2179
"etc/usd-bitfinex-kraken","2019-08-08T14:00:45.318Z","ETC/USD",0.16660558,"bitfinex",6.0022,"kraken",6.223,157203.18862511,,3.475
"omg/btc-hitbtc-coss","2019-08-08T14:01:06.637Z","OMG/BTC",8266.51235844,"hitbtc",0.00012097,"coss",0.000125,346846.23,41.9174009991,3.1281
"qtum/eth-bittrex-coinexchange","2019-08-08T14:01:32.214Z","QTUM/ETH",77.98675629,"bittrex",0.01282269,"coinexchange",0.0133,276.88638699,3.59460844,3.5187
"bch/usdt-coinexchange-binance","2019-08-08T14:01:44.765Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"binance",328.79,,0.35350057,6.2299
"qtum/eth-okex-coinexchange","2019-08-08T14:02:24.396Z","QTUM/ETH",78.125,"okex",0.0128,"coinexchange",0.0133,31456.1621,,3.7023
"bch/usdt-coinexchange-gateio","2019-08-08T14:02:59.661Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"gateio",329,,0.35350057,6.2979
"etc/btc-okex-kraken","2019-08-08T14:02:59.665Z","ETC/BTC",1950.45835771,"okex",0.0005127,"kraken",0.000529,3637168.98321,,2.9761
"etc/btc-kucoin-kraken","2019-08-08T14:03:22.102Z","ETC/BTC",1951.60031226,"kucoin",0.0005124,"kraken",0.000529,4879.91516046,2.461247045098889,3.0364
"qtum/eth-binance-coinexchange","2019-08-08T14:05:07.886Z","QTUM/ETH",78.14331484,"binance",0.012797,"coinexchange",0.0133,9946.75,128.45230089,3.7267
"bch/usdt-coinexchange-okex","2019-08-08T14:05:57.047Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"okex",330.17,,0.35350057,6.6762
"etc/usd-exmo-kraken","2019-08-08T14:05:57.049Z","ETC/USD",0.16669723,"exmo",5.9989,"kraken",6.214,23266.65785907,139574.35383082,3.3821
"etc/btc-binance-kraken","2019-08-08T14:06:40.932Z","ETC/BTC",1956.94716243,"binance",0.000511,"kraken",0.000529,152288.35,77.0757428,3.319
"mkr/eth-okex-hitbtc","2019-08-08T14:08:19.103Z","MKR/ETH",0.41666667,"okex",2.4,"hitbtc",2.45498,91.89,,2.0885
"mkr/usdt-okex-hitbtc","2019-08-08T14:09:24.976Z","MKR/USDT",0.00192567,"okex",519.3,"hitbtc",547.338,1,,5.1938
"mkr/btc-okex-hitbtc","2019-08-08T14:09:42.106Z","MKR/BTC",22.22222222,"okex",0.045,"hitbtc",0.04654,769.591,,3.2188
"mkr/usdt-okex-hitbtc","2019-08-08T14:09:54.641Z","MKR/USDT",0.00191755,"okex",521.5,"hitbtc",547.339,56.8,,4.7498
"mkr/btc-okex-hitbtc","2019-08-08T14:09:54.640Z","MKR/BTC",22.22222222,"okex",0.045,"hitbtc",0.04655,779.214,,3.241
"bch/usdt-coinexchange-zb","2019-08-08T14:16:51.247Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"zb",329.29,,0.35350057,6.3916
"etc/btc-okex-kraken","2019-08-08T14:16:51.255Z","ETC/BTC",1962.70853778,"okex",0.0005095,"kraken",0.000529,3654657.70052,,3.6235
"etc/eth-binance-kraken","2019-08-08T14:16:51.256Z","ETC/ETH",37.31482518,"binance",0.026799,"kraken",0.027751,20103.68,536.03207161,3.3488
"etc/usd-bittrex-kraken","2019-08-08T14:16:51.257Z","ETC/USD",0.16744809,"bittrex",5.972,"kraken",6.187,5468.7199412,32468.8429376,3.3965
"eth/usd-cobinhood-bitfinex","2019-08-08T14:16:51.258Z","ETH/USD",0.00550025,"cobinhood",181.81,"bitfinex",223.12,0,,22.4988
"eth/usdt-exmo-bleutrade","2019-08-08T14:16:51.258Z","ETH/USDT",0.00449256,"exmo",222.59,"bleutrade",228.99389,581.19290988,128960.9528946,2.6741
"leo/btc-bitz-bitfinex","2019-08-08T14:16:51.259Z","LEO/BTC",371747.21189591,"bitz",0.00000269,"bitfinex",0.00010612,12882.1,0.03,3840.9364
"leo/eth-bitfinex-coss","2019-08-08T14:16:51.260Z","LEO/ETH",178.83009353,"bitfinex",0.0055919,"coss",0.00581,2531.4306026,,3.6964
"omg/btc-bitfinex-coss","2019-08-08T14:16:51.261Z","OMG/BTC",8260.36676028,"bitfinex",0.00012106,"coss",0.000125,88171.03327928,,3.0513
"omg/eth-bitfinex-coinexchange","2019-08-08T14:16:51.261Z","OMG/ETH",157.1141277,"bitfinex",0.0063648,"coinexchange",0.007,2836.88525753,,9.7699
"omg/usd-bitfinex-coss","2019-08-08T14:16:51.262Z","OMG/USD",0.70372977,"bitfinex",1.421,"coss",1.6,231585.13959669,,12.3842
"trx/usd-bittrex-coss","2019-08-08T14:16:51.264Z","TRX/USD",45.70383912,"bittrex",0.02188,"coss",0.023,4325823.60628969,94566.76460179,4.9137
"xlm/usd-kraken-coss","2019-08-08T14:16:51.265Z","XLM/USD",13.03509046,"kraken",0.076716,"coss",0.088,2426342.66132389,188935.51794273965,14.4941
"zec/btc-hitbtc-cobinhood","2019-08-08T14:16:51.266Z","ZEC/BTC",189.25056775,"hitbtc",0.005284,"cobinhood",0.0055,71526.513,378.759993807,3.8837
"qtum/eth-bittrex-coinexchange","2019-08-08T14:16:51.263Z","QTUM/ETH",78.88027867,"bittrex",0.01267744,"coinexchange",0.0133,276.88638699,3.59460844,4.7059
"dash/usdt-exmo-coss","2019-08-08T14:16:51.253Z","DASH/USDT",0.00953616,"exmo",104.86403596,"coss",164,195.98060748,20534.95976139,56.1366
"bch/usdt-coinexchange-okex","2019-08-08T14:17:01.133Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"okex",329.45,,0.35350057,6.4434
"etc/btc-binance-kraken","2019-08-08T14:17:01.134Z","ETC/BTC",1964.63654224,"binance",0.000509,"kraken",0.000529,152398.57,77.15001334,3.7253
"omg/btc-hitbtc-coss","2019-08-08T14:17:01.137Z","OMG/BTC",8259.68448005,"hitbtc",0.00012107,"coss",0.000125,349597.91,42.2490675466,3.0428
"omg/eth-binance-coinexchange","2019-08-08T14:17:01.137Z","OMG/ETH",157.0105197,"binance",0.006369,"coinexchange",0.007,112108.41,711.62769462,9.6975
"qtum/eth-binance-coinexchange","2019-08-08T14:17:01.138Z","QTUM/ETH",78.90791446,"binance",0.012673,"coinexchange",0.0133,10668.32,137.6070504,4.7426
"bat/btc-bittrex-zb","2019-08-08T14:17:30.295Z","BAT/BTC",54585.15283843,"bittrex",0.00001832,"zb",0.0000187379,2840228.97959359,52.03134438,2.0788
"bch/usdt-coinexchange-gateio","2019-08-08T14:17:30.296Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"gateio",329.5,,0.35350057,6.4596
"etc/btc-hitbtc-kraken","2019-08-08T14:17:30.297Z","ETC/BTC",1965.02259776,"hitbtc",0.0005089,"kraken",0.000529,1532839.49,769.410986704,3.7457
"omg/eth-okex-coinexchange","2019-08-08T14:17:30.299Z","OMG/ETH",156.98587127,"okex",0.00637,"coinexchange",0.007,12114.5689,,9.6802
"zec/btc-binance-cobinhood","2019-08-08T14:17:30.301Z","ZEC/BTC",189.28639031,"binance",0.005283,"cobinhood",0.0055,83807.874,449.58111494,3.9034
"zec/btc-bitfinex-cobinhood","2019-08-08T14:18:16.655Z","ZEC/BTC",189.34373462,"bitfinex",0.0052814,"cobinhood",0.0055,8468.44898294,,3.9349
"bch/usdt-coinexchange-bitz","2019-08-08T14:18:31.637Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"bitz",329.74,,0.35350057,6.5372
"bch/usdt-coinexchange-binance","2019-08-08T14:18:51.456Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"binance",330.03,,0.35350057,6.631
"bat/btc-hitbtc-zb","2019-08-08T14:19:19.995Z","BAT/BTC",54597.07359686,"hitbtc",0.000018316,"zb",0.0000187379,1421008.5,26.2518542953,2.1011
"leo/btc-bitz-okex","2019-08-08T14:19:19.996Z","LEO/BTC",371747.21189591,"bitz",0.00000269,"okex",0.00010593,12882.1,0.03,3833.8803
"omg/btc-hitbtc-zb","2019-08-08T14:19:19.997Z","OMG/BTC",8270.61450666,"hitbtc",0.00012091,"zb",0.00012677,349923.91,42.2883542454,4.6417
"vsys/btc-bitfinex-kucoin","2019-08-08T14:19:19.998Z","VSYS/BTC",51652.89256198,"bitfinex",0.00001936,"kucoin",0.00002011,355685.22117098,,3.6701
"xlm/usd-exmo-coss","2019-08-08T14:19:20.002Z","XLM/USD",13.02958929,"exmo",0.07674839,"coss",0.088,728806.92687262,56070.62244562,14.4457
"etc/eth-okex-kraken","2019-08-08T14:19:38.329Z","ETC/ETH",37.36920777,"okex",0.02676,"kraken",0.027751,2043946.64185,,3.4996
"xlm/usd-exmo-coss","2019-08-08T14:20:08.912Z","XLM/USD",13.02958929,"exmo",0.07674839,"coss",0.088,730466.32900604,56032.95448457,14.4457
"omg/btc-zb-coss","2019-08-08T14:20:08.910Z","OMG/BTC",8247.42268041,"zb",0.00012125,"coss",0.000125,589784.71,,2.8897
"bat/btc-bittrex-zb","2019-08-08T14:22:46.835Z","BAT/BTC",54585.15283843,"bittrex",0.00001832,"zb",0.0000187379,,,2.0788
"bat/btc-hitbtc-zb","2019-08-08T14:24:01.805Z","BAT/BTC",54546.44629902,"hitbtc",0.000018333,"zb",0.0000187379,,,2.0064
"bch/usdt-coinexchange-okex","2019-08-08T14:24:57.466Z","BCH/USDT",0.00323721,"coinexchange",308.90754047,"okex",330.01,,,6.6245
"cro/btc-kucoin-livecoin","2019-08-08T14:24:57.472Z","CRO/BTC",247524.75247525,"kucoin",0.00000404,"livecoin",0.0000045,,,11.1748
"dash/usdt-exmo-coss","2019-08-08T14:24:57.473Z","DASH/USDT",0.00953616,"exmo",104.86403596,"coss",164,,,56.1366
"etc/btc-binance-kraken","2019-08-08T14:24:57.475Z","ETC/BTC",1964.63654224,"binance",0.000509,"kraken",0.000529,,,3.7253
"etc/eth-okex-kraken","2019-08-08T14:24:57.476Z","ETC/ETH",37.41114852,"okex",0.02673,"kraken",0.027751,,,3.6159
"etc/usd-bittrex-kraken","2019-08-08T14:24:57.476Z","ETC/USD",0.16770082,"bittrex",5.963,"kraken",6.189,,,3.5862
"eth/usd-cobinhood-livecoin","2019-08-08T14:24:57.477Z","ETH/USD",0.00550025,"cobinhood",181.81,"livecoin",225.35001,,,23.7241
"eth/usdt-exmo-bleutrade","2019-08-08T14:24:57.478Z","ETH/USDT",0.00448935,"exmo",222.74950148,"bleutrade",228.99389,,,2.6005
"leo/btc-bitz-bitfinex","2019-08-08T14:24:57.478Z","LEO/BTC",371747.21189591,"bitz",0.00000269,"bitfinex",0.00010595,,,3834.623
"btg/usd-exmo-livecoin","2019-08-08T14:24:57.470Z","BTG/USD",0.0622665,"exmo",16.05999999,"livecoin",17,,,5.6472
"leo/eth-bitfinex-coss","2019-08-08T14:24:57.479Z","LEO/ETH",178.83009353,"bitfinex",0.0055919,"coss",0.00581,,,3.6964
"omg/eth-binance-coinexchange","2019-08-08T14:24:57.480Z","OMG/ETH",156.81354869,"binance",0.006377,"coinexchange",0.007,,,9.5597
"omg/usd-bitfinex-coss","2019-08-08T14:24:57.481Z","OMG/USD",0.70190215,"bitfinex",1.4247,"coss",1.6,,,12.092
"qtum/eth-binance-coinexchange","2019-08-08T14:24:57.482Z","QTUM/ETH",78.77737514,"binance",0.012694,"coinexchange",0.0133,,,4.5691
"trx/usd-bittrex-coss","2019-08-08T14:24:57.482Z","TRX/USD",45.62043796,"bittrex",0.02192,"coss",0.023,,,4.7221
"xlm/usd-kraken-coss","2019-08-08T14:24:57.485Z","XLM/USD",13.03356142,"kraken",0.076725,"coss",0.088,,,14.4806
"zec/btc-bitfinex-cobinhood","2019-08-08T14:24:57.486Z","ZEC/BTC",189.26847734,"bitfinex",0.0052835,"cobinhood",0.0055,,,3.8936
